material_id,formula,space_group,crystal_system,formation_energy_per_atom,band_gap,density,nsites,is_stable,energy_above_hull
mp-1523737,NClO,P2_1/c,Monoclinic,0.0901382308333325,2.0666,1.8124752360018217,12,False,0.1594672271527786
mp-1567687,V3OF7,C2/m,Monoclinic,-3.022539932272728,1.3813,3.2152340493491596,22,False,0.0969362979545405
mp-1568124,V3OF7,P-1,Triclinic,-3.0143060536363633,1.3699999999999999,3.227839034611338,22,False,0.10517017659090566
mp-1568829,Fe4OF6,P1,Triclinic,-2.3232630954545446,2.6285000000000003,4.420858799379854,22,False,0.06526977727272687
mp-1569012,Fe4OF6,Pm,Monoclinic,-2.313648041363636,2.4446,4.482592417901085,22,False,0.07488483136363566
mp-1574300,V2OF5,P1,Triclinic,-3.042165451666667,1.8125999999999998,3.2080639218475167,24,False,0.004112301250000172
mp-1574993,V2OF5,P3_1,Trigonal,-3.044634766666667,0.5307999999999999,3.567041599698735,24,False,0.0016429862500002557
mp-1638869,Fe4OF6,C2/c,Monoclinic,-2.340080513636363,2.785,4.400628189676345,22,False,0.04845235909090828
mp-1648259,V2OF5,P3_2,Trigonal,-3.046277752916667,0.5952,3.565810942463263,24,True,0.0
mp-1652491,Fe4OF6,P-1,Triclinic,-2.3394516481818175,2.7748,4.406342208125923,22,False,0.04908122454545438
mp-1950989,BaO,P6_3/mmc,Hexagonal,-2.7802067300000006,2.5282,5.006551621395645,4,False,0.04343597749999972
mp-1974672,K2O,P4_2/mcm,Tetragonal,-1.1078759170833337,1.3903999999999999,2.2674170161472116,24,False,0.07153035500000016
mp-1974703,FeO,P-1,Triclinic,-1.1925727681250002,0.5488999999999997,5.867315203727379,8,False,0.1682073175000003
mp-1974803,H2O,Cc,Monoclinic,-1.2796226074999997,6.127800000000001,1.0399863544876056,12,False,0.000380385833333996
mp-1974948,Na2O,P321,Trigonal,-1.3520595381417624,2.6124,2.7255985798114417,9,False,0.0736791477777774
mp-1975124,K2O,P6_3mc,Hexagonal,-1.1131218370833338,2.2661,2.3850048089074574,6,False,0.06628443500000003
mp-1975297,Na2O,C2/m,Monoclinic,-1.3276140742528726,1.6666999999999998,2.1778206941990232,6,False,0.09812461166666742
mp-2015815,PCl3O,Pnma,Orthorhombic,-1.2186257794285715,5.1883,2.00485121564676,20,False,0.25138123010000335
mp-2023482,Rb2O,P-3m1,Trigonal,-1.0192492748611117,0.7837000000000001,3.377194457126542,9,False,0.047853428888886995
mp-2039648,CrO,P2/m,Monoclinic,-1.8708911443749994,0.0,4.81916210759937,8,False,0.13362074249999978
mp-2208711,NdSO,Cmce,Orthorhombic,-2.8313490634375,1.7649,5.766646675102537,24,False,0.0038147807812549672
mp-2214826,WOF4,P-1,Triclinic,-2.628979135833333,4.9533000000000005,4.359834887843566,12,False,0.05352794166666719
mp-2216570,MnOF,P1,Triclinic,-2.337360300977012,0.14400000000000013,4.3704556582889325,24,False,0.05714559277775688
mp-2221678,Cu2OF2,C2/c,Monoclinic,-1.421700826,0.045899999999999996,3.82079023193355,10,False,0.04194169299999917
mp-2236954,CoOF,Pc,Monoclinic,-1.5476884233333337,0.2315999999999998,5.097914468113445,18,False,0.15912881666666667
mp-2346983,ZnO,P6_3/mmc,Hexagonal,-1.5668722149999996,0.8378,4.049918989511721,4,False,0.22402689749999993
mp-2468835,Li7B18O,P2/m,Monoclinic,-0.41602970897435926,0.0,1.8041686563718107,26,False,0.029330214096150442
mp-2525045,Zr2N2O,P2_1/m,Monoclinic,-2.1043299840000005,0.9192,5.731664039006462,10,False,0.21523155150000228
mp-2646974,MoSO,P4bm,Tetragonal,-0.7411964266666663,0.14380000000000015,3.6252404497422384,12,False,0.8708893324999991
mp-2646987,InO,P-6m2,Hexagonal,-1.4353931108333322,0.40490000000000004,2.6490811933610896,4,False,0.2263297122222232
mp-2647012,Bi2Te2O,P4/nmm,Tetragonal,-0.6192434066666678,0.4676999999999998,7.843830792378461,10,False,0.2541822956666717
mp-2647027,Bi2Se2O,P4/nmm,Tetragonal,-0.7878874689375011,0.9630000000000001,7.909259691726345,10,False,0.20563608233333674
